id	decision	reason_cn	tags	session	title	url	publication	abstract_short
1A/4	unrelated_excluded	读完摘要后未发现可归入 Rb87 Rydberg 光镊平台近期实验/工程问题的内容。	gate_QEC;quantum_sim;metrology	Grad Student Symposium - Pushing the Boundaries of Quantum Optics	Quantum Simulation and Sensing with Photon-Mediated Interactions	https://meetings-archive.aps.org/damop/2026/1a/4/		Photons bouncing back and forth many times between highly reflecting mirrors provide a powerful method to mediate interactions between laser-cooled atoms held between the mirrors. In this pedagogical lecture, I will use simple physical pictures to describe how these interactions emerge and can be flexibly crafted. This will be followed by high lighting the broad range of physics that can be explored in these systems including ultra-narrow linewidth superradiant lasers, entanglement-enhanced matterwave interferometers and clocks, and simulations of quench dynamics in BCS superconductors.
1A/6	unrelated_excluded	平台是离子、固态或其他非中性原子光镊平台。	quantum_sim;metrology;ion_or_solid	Grad Student Symposium - Pushing the Boundaries of Quantum Optics	Quantum simulation and sensing in Penning ion traps	https://meetings-archive.aps.org/damop/2026/1a/6/		Trapped ions are one of the leading quantum information processing platforms, due to the very high-fidelity control of both their internal states and their collective motion, which is used to generate interactions between ions. However, while there has been significant progress increasing the number of ions in the commonly used radio frequency (RF) Paul traps, scaling these systems to more than tens of ion qubits remains challenging. Penning ion traps, which use a strong magnetic field to confine the ions, enable straightforward trapping of much larger numbers of ions, which have been used in state-of-the-art quantum sensing and simulation demonstrations. I will discuss why Penning traps are
1A/8	unrelated_excluded	平台是离子、固态或其他非中性原子光镊平台。	gate_QEC;cavity;vapor_or_MOT;ion_or_solid	Grad Student Symposium - Pushing the Boundaries of Quantum Optics	Quantum light-matter interfaces using rare-earth ions in solids	https://meetings-archive.aps.org/damop/2026/1a/8/		I will provide an overview of the quantum optical systems that can be investigated using rare-earth ions in solids, and their applications. Rare-earth ions have microwave and optical transitions that can be coupled to optical and microwave resonators. Experiments can be performed either with single ions or ensembles of ions, enabling the exploration of various regimes of cavity quantum electrodynamics. Interesting phenomena can be explored, including superradiance, one-axis twisting, coherence protection via cavity mediated all to all interaction, collective induced transparency, time crystals. Applications include quantum networking, microwave to optical transduction, and quantum memories.
A01/1	related_excluded	Rydberg/Rb 相关但平台是 vapor/MOT/molasses/EIT/cold ensemble，不是 optical tweezer array。	gate_QEC;vapor_or_MOT	DAMOP Prize Session - Allis Prize Winner &amp; Ramsey Prize Winners	Allis Prize Talk: Plasma Medicine: When the Fourth State of Matter Meets Living Matter	https://meetings-archive.aps.org/damop/2026/a01/1/		In the early 1990s, I was involved in work that used atmospheric pressure plasma generated by a dielectric barrier discharge to enhance the hydrophilicity of plastics and fabrics. One day, I wondered what the effects of plasma would be if the treated surface were that of a living biological target, such as cells or tissues. Since I could not find information about such effects in peer reviewed scientific literature, I decided to investigate myself, purely out of curiosity. I am happy to report that three decades later, much knowledge has been generated towards the understanding of the interaction of plasma with biological matter, thanks to the efforts of a large research community. In this p
A01/2	related_excluded	综述/获奖报告：atom arrays 与 Rydberg interaction 总览，不是一个具体 Rb87 光镊实验方案。	Rydberg;neutral_atom_array;gate_QEC	DAMOP Prize Session - Allis Prize Winner &amp; Ramsey Prize Winners	Ramsey Prize Talk: Quantum science with atom arrays and Rydberg interactions	https://meetings-archive.aps.org/damop/2026/a01/2/		Single atoms provide an ideal setting for explorations in quantum information science by bringing together long coherence times and fast control. What started a couple decades ago as a physics experiment to entangle one pair of atoms has turned into a worldwide race towards large scale quantum computers with thousands of entangled qubits.This talk will highlight the variety of approaches that are being developed for controlling large qubit arrays. Different atomic elements, encoding choices, trapping geometries, and entanglement protocols are all being combined to achieve scalable processors. In particular I will present an approach based on combining different atomic elements in a single pl
A01/3	related_excluded	综述/获奖报告：Rydberg tweezer many-body physics 总览，不是 DAMOP 摘要中新的具体实验方案。	Rydberg;tweezer;quantum_sim;molecule;ion_or_solid	DAMOP Prize Session - Allis Prize Winner &amp; Ramsey Prize Winners	Ramsey Prize Talk: Assembling quantum matter one atom at a time: Many-body physics with arrays of Rydberg atoms	https://meetings-archive.aps.org/damop/2026/a01/3/		"Over the last twenty years, physicists have learned to manipulate individual quantum objects: atoms, ions, molecules, quantum circuits, electronic spins... It is now possible to build ""atom by atom"" a synthetic quantum matter. By controlling the interactions between atoms, one can study the properties of these elementary many-body systems: quantum magnetism, transport of excitations, superconductivity... More recently, it was realized that these quantum systems may find applications in the industry, such as finding the solution of combinatorial optimization problems. This talk will present an example of a synthetic quantum system, based on laser-cooled ensembles of individual atoms trapped i"
B09/1	unrelated_excluded	主题不涉及 Rb/Rydberg/光镊/中性原子阵列或相关量子计算模拟工程。	optical_lattice_or_gas	Quantum Dynamics and Interactions in Optical Lattices	Matter wave quantum optics with three level quantum emitters	https://meetings-archive.aps.org/damop/2026/b09/1/	"[1] Krinner, Stewart, Pazmino, Kwon, Schneble, ""Spontaneous emission of matter-waves from a tunable open quantum system"", Nature 559, 589 (2018) [2] Kim, Y., Lanuza, A. & Schneble, D. Super- and subradiant dynamics of quantum emitters mediated by atomic matter waves. Nat. Phys. 21, 70–76 (2025)"	To explore engineered light–matter interactions in novel regimes, our group has recently implemented a versatile platform, in which lattice-trapped atoms and free-propagating matter waves play the roles of emitters and photons, respectively [1,2]. By confining more than one internal atomic state, we realize an effective three-level quantum emitter interacting with a continuum. In this work, we study the three-level emitter’s emission properties, its matter-wave scattering response, and demonstrate quantum storage via control field engineering.
B09/2	related_excluded	光镊/中性原子阵列相关，但摘要没有 Rb87 或 Rydberg 核心实验。	neutral_atom_array;gate_QEC;optical_lattice_or_gas	Quantum Dynamics and Interactions in Optical Lattices	Light scattering from closely-spaced atom pairs	https://meetings-archive.aps.org/damop/2026/b09/2/		While light scattering is a fundamental phenomenon that has been covered in dozens of references, it has recently become a topic of intense investigation because of its relevance to new technologies — for instance, harnessing Dicke super- and subradiance for photon storage and readout or using atom arrays as ideal, switchable mirrors. Of particular interest is the regime where scatterers are densely packed compared to the resonant wavelength. In this limit, atoms no longer scatter independently, but cooperatively, leading to uniquely collective behavior. Furthermore, the dipole-dipole interactions induced by the illuminating light play a major role in the light scattering behavior in this re
B09/3	related_excluded	涉及分子、分子显微镜、polar molecule 或 RbCs/KRb/NaCs 混合系统；不是 Rb87 Rydberg atom tweezer array。	Rydberg;molecule;optical_lattice_or_gas;ion_or_solid	Quantum Dynamics and Interactions in Optical Lattices	Continuous pump-probe experiment to observe Zeeman wave-packet dynamics	https://meetings-archive.aps.org/damop/2026/b09/3/	https://journals.aps.org/pra/pdf/10.1103/5fzd-g7qn	Time-resolved laser spectroscopy, combined with high-resolution momentum imaging, provides insights into atomic and molecular dynamics. We present a novel tool based on cold target recoil ion momentum spectroscopy (COLTRIMS) for time-resolved photoelectron spectroscopy, designed to study slow nanosecond atomic dynamics. Unlike conventional pump-probe methods, which rely on scanning the delays between two pulses, we use a femtosecond pump pulse and a weak continuous-wave (CW) probe, which can ionize the excited atoms at any time after the pump. Typically, COLTRIMS requires time-of-flight data referenced to a pulsed source. This experiment, however, recovers time information by exploiting the 
B09/4	related_excluded	光镊/中性原子阵列相关，但摘要没有 Rb87 或 Rydberg 核心实验。	neutral_atom_array;gate_QEC;quantum_sim;optical_lattice_or_gas	Quantum Dynamics and Interactions in Optical Lattices	Observation of the Gordon-Ashkin momentum diffusion with ultracold atoms scattered by a standing wave	https://meetings-archive.aps.org/damop/2026/b09/4/		In 1980, Gordon and Ashkin predicted that the momentum diffusion of an atom in a light field is maximized where the spontaneous emission noise is minimized—specifically at the nodes of a standing wave where the light intensity vanishes. We investigate this counterintuitive phenomenon by scattering a periodic array of Dysprosium atoms with a comensurate optical standing wave. Utilizing the narrow-line transition at 626 nm, a one-dimensional array of atoms was prepared with a 626 nm optical lattice detuned by 10^6 linewidth, then scattered by a resonant standing wave. We reveal that atoms initially localized at the intensity nodes undergo rapid momentum diffusion driven by the large gradients 
B09/5	related_excluded	平台是 optical lattice、BEC、quantum gas 或 gas microscope，不是 Rb87 optical tweezer Rydberg array。	gate_QEC;quantum_sim;metrology;optical_lattice_or_gas	Quantum Dynamics and Interactions in Optical Lattices	Deterministic Generation of Correlated Atom Pairs via Hamiltonian Engineering	https://meetings-archive.aps.org/damop/2026/b09/5/		Correlated atom pairs are fundamental resources for quantum-enhanced sensing, communication and distributed quantum computing. While spontaneous parametric down-conversion (SPDC) and four-wave mixing (SFWM) are established protocols for generating entangled photons, a comparably robust and deterministic source for correlated atoms, in the context of trapped ultracold atoms remains a challenge. In this work, we demonstrate a protocol for generating correlated atom pairs using Hamiltonian engineering for cold atoms trapped in an optical lattice. By tuning the hopping strength, the interaction strength, and the lattice potential via quantum optimal control (QOC), we steer the system toward an S
B09/6	related_excluded	平台是 optical lattice、BEC、quantum gas 或 gas microscope，不是 Rb87 optical tweezer Rydberg array。	gate_QEC;optical_lattice_or_gas	Quantum Dynamics and Interactions in Optical Lattices	Thermomagnetic anomalies in quantum magnon transport caused by tunable junction geometries in cold atomic systems	https://meetings-archive.aps.org/damop/2026/b09/6/	[1] Y. Sekino, Y. Ominato, H. Tajima, S. Uchino, and M. Matsuo, Thermomagnetic anomalies by magnonic criticality in ultracold atomic transport, Phys. Rev. Lett. 133, 163402 (2024). [2] Y. Sekino, Y. Ominato, H. Tajima, S. Uchino, and M. Matsuo, Thermomagnetic anomalies in quantum magnon transport caused by tunable junction geometries in cold atomic systems, Phys. Rev. A 111, 033312 (2025)	We investigate magnon-mediated spin and heat transport in a magnetic linear junction (MLJ), where two Heisenberg ferromagnets realized in optical lattices are connected through a linearly aligned interface. Employing the Schwinger–Keldysh approach, we show that in weak effective Zeeman fields, magnon Bose–Einstein statistics give rise to magnonic criticality, leading to a pronounced enhancement of spin and thermal conductances. The resulting singular transport behavior is strongly dependent on the junction geometry, and qualitatively differs from that of the point-contact setup studied previously. The enhanced conductances further induce a breakdown of the magnonic Wiedemann–Franz law. In th
B09/7	related_excluded	涉及分子、分子显微镜、polar molecule 或 RbCs/KRb/NaCs 混合系统；不是 Rb87 Rydberg atom tweezer array。	Rydberg;quantum_sim;molecule;optical_lattice_or_gas	Quantum Dynamics and Interactions in Optical Lattices	Quantum simulator of dynamics beyond Born-Oppenheimer using ultra-cold fermionic molecules in optical lattices	https://meetings-archive.aps.org/damop/2026/b09/7/	Physical Review Letters 135 (13), 133402 (2025)	Cold atomic systems in optical lattices have been one of the leading platforms to simulate quantum many-body physics over the past two decades. Their combination of exceptional control and detection techniques has enabled the study of relevant many-body phenomena in condensed matter or lattice high-energy physics problems [1,2]. Recently, a new avenue has opened in optical lattice setups with proposals to simulate few-body problems similar to those appearing in quantum chemistry, but with different interaction scalings and dimensionalities [3]. Here, we propose a platform based on ultra-cold fermionic molecules trapped in optical lattices to simulate nonadiabatic effects, as they appear in c
B09/8	related_excluded	平台是 optical lattice、BEC、quantum gas 或 gas microscope，不是 Rb87 optical tweezer Rydberg array。	gate_QEC;optical_lattice_or_gas	Quantum Dynamics and Interactions in Optical Lattices	Precise on-site dipole-dipole interaction spectroscopy of a dipolar atom Mott insulator	https://meetings-archive.aps.org/damop/2026/b09/8/		We investigate the magnetic interaction shift of two dysprosium atoms occupying one ~30 nm site in an atomic Mott insulator. This is achieved by driving a Δmj = 1 radiofrequency transition in the ground state manifold of Dy. The strong magnetic dipole interaction of Dy pairs may be reduced by angular averaging over the relative atom position, or hidden in the technical noise such as magnetic field drift. We maximize the net dipole effect by using tight, elongated lattice sites, and reducing the technical noise. Our measurement shows stronger attraction and weaker repulsion relative to mean-field calculation. We attribute the discrepancy to higher order spin-orbit coupling effect, which leads
B12/1	unrelated_excluded	主题不涉及 Rb/Rydberg/光镊/中性原子阵列或相关量子计算模拟工程。	optical_lattice_or_gas	Bose-Einstein Condensates	A degenerate quantum gas mixture of erbium and lithium atoms	https://meetings-archive.aps.org/damop/2026/b12/1/	J. Kalia, J. Rivera, R. R. Emran, W. J. Solorio Hernandez, K. Kwon, and R. J. Fletcher, Creation of a degenerate Bose-Bose mixture of erbium and lithium atoms, Phys. Rev. A 113, 013321 (2026).	Quantum gas mixtures are powerful systems with which to explore few-body and many-body phenomena. We present a platform for the creation of a degenerate quantum gas mixture of erbium and lithium atoms. This mixture features the free choice of quantum statistics via isotope selection, convenient intra- and interspecies Feshbach resonances, strong dipolar interactions, and large mass imbalance. We image the atoms via a high-NA objective. These experimental handles allow us to engineer novel states of matter and study a wide range of phenomena, including atom-resolved impurity physics, spontaneous pattern formation, and the miscible–immiscible phase transition.
B12/2	related_excluded	平台是 optical lattice、BEC、quantum gas 或 gas microscope，不是 Rb87 optical tweezer Rydberg array。	gate_QEC;quantum_sim;optical_lattice_or_gas	Bose-Einstein Condensates	Efficient numerical simulation of bubble-shaped Bose-Einstein condensates	https://meetings-archive.aps.org/damop/2026/b12/2/	Planned paper: A. Beregi, J.-B. Gerent, and N. Lundblad, Efficient simulation of Bose-Einstein condensates in exotic geometries.	Simulating the static and dynamic properties of Bose-Einstein condensates (BECs) is central to quantum gas research, supporting both the interpretation of experimental data and the development of optimal control protocols. However, the case of bubble-shaped BECs is particularly challenging for numerical simulations due to the inherently three-dimensional, hollow, and thin geometry. This unique quantum gas topology is expected to give rise to novel superfluid dynamics analogous to atmospheric turbulence [1-3]. These systems also have the potential to explore analogues of astrophysical phenomena in a controlled, tabletop setting [4]. Microgravity environments are ideally suited for realizing t
B12/3	related_excluded	平台是 optical lattice、BEC、quantum gas 或 gas microscope，不是 Rb87 optical tweezer Rydberg array。	quantum_sim;optical_lattice_or_gas	Bose-Einstein Condensates	Mutual Friction and Coarsening in a Two-Component BEC	https://meetings-archive.aps.org/damop/2026/b12/3/		In a two-component Bose-Einstein condensate with relative flow, the counterflow instability spontaneously breaks translational symmetry after a critical relative velocity. The turbulence that develops produces an effective mutual friction between the two components, allowing momentum exchange and dissipating their bulk velocity despite the absence of viscosity. By applying a constant force, experimentalists can control the amount of mutual friction, providing experimental access to the underlying turbulence. We will discuss the nature of this mutual friction seen in simulations, and an interesting coarsening dynamic seen in the experiments when the forcing is stopped.
B12/4	related_excluded	平台是 optical lattice、BEC、quantum gas 或 gas microscope，不是 Rb87 optical tweezer Rydberg array。	Rb87;optical_lattice_or_gas	Bose-Einstein Condensates	Experimental protocol for characterizing quantum scars in a 87Rb spinor Bose—Einstein condensate	https://meetings-archive.aps.org/damop/2026/b12/4/		Spinor Bose­­­­—Einstein condensates (BECs) present an interesting platform for studying the relationship between regular states, states with quantum many-body scars (QMBS) that violate the eigenstate thermalization hypothesis, and states with quantum scarring caused by unstable periodic orbits [1]. Here, we consider the experimental feasibility of using a 87Rb F = 1 spinor BEC in a far-detuned harmonic optical trap to study the relationship between these states. We examine the possibility of using radiofrequency (RF) fields to dress the states and suppress their magnetic field sensitivity, allowing for longer measurements to better characterize state behavior such as revivals within QMBS st
B12/5	related_excluded	平台是 optical lattice、BEC、quantum gas 或 gas microscope，不是 Rb87 optical tweezer Rydberg array。	Rb87;gate_QEC;quantum_sim;optical_lattice_or_gas	Bose-Einstein Condensates	Nonlinear waves in effectively attractive Bose-Einstein condensates	https://meetings-archive.aps.org/damop/2026/b12/5/		Nonlinear systems with attractive interactions support a remarkably rich variety of nonlinear wave patterns. A prominent example is the Peregrine soliton, recently realized by our group. This feature is localized not only in space but also in time and has attracted significant interest as a potential model for oceanic rogue waves, with closely related phenomena appearing in nonlinear optics. Peregrine solitons, however, represent only one member of a broader family of nonlinear excitations, including Akhmediev breathers, Kuznetsov–Ma breathers, cnoidal waves, and other structures that exemplify the complex dynamics of attractive systems.In our experiments, we engineer effectively attractive 
B12/6	related_excluded	平台是 optical lattice、BEC、quantum gas 或 gas microscope，不是 Rb87 optical tweezer Rydberg array。	gate_QEC;optical_lattice_or_gas	Bose-Einstein Condensates	Dam-Break Reflections in an Elongated Bose–Einstein Condensate	https://meetings-archive.aps.org/damop/2026/b12/6/		Bose–Einstein condensates (BECs) provide a highly tunable platform for exploring nonlinear hydrodynamic phenomena in quantum fluids. In this work, we investigate a quantum analogue of classical dam-break reflections in elongated BECs using a reconfigurable repulsive optical barrier. The resultant dynamics exhibit a rarefaction flow, a reflected shock-wave front, and a turbulent complex-wave region that forms between the barrier and the shock front. To better understand dissipation and effective viscosity within this region, we launch a secondary shock wave. In addition to this, we present an analog system for studying superfluid undular bore dynamics. These results open new avenues for contr
B12/7	related_excluded	平台是 optical lattice、BEC、quantum gas 或 gas microscope，不是 Rb87 optical tweezer Rydberg array。	quantum_sim;cavity;optical_lattice_or_gas	Bose-Einstein Condensates	Superradiant transition of dysprosium in a multimode optical cavity	https://meetings-archive.aps.org/damop/2026/b12/7/		We report technical upgrades to our dysprosium quantum gas apparatus. We can now strongly couple ultracold dysprosium gases to a multimode optical cavity. The preparation of Dy Bose-Einstein condensates and ultracold fermionic gases within the cavity are reported as well as the first observation of a Dy Dicke superradiant transition. We will discuss the system's potential for exploring the Hubbard-Holstein model and Peierls instabilities.
B12/8	unrelated_excluded	主题不涉及 Rb/Rydberg/光镊/中性原子阵列或相关量子计算模拟工程。	optical_lattice_or_gas	Bose-Einstein Condensates	Weak wave turbulence as a precursor to universal coarsening	https://meetings-archive.aps.org/damop/2026/b12/8/		We study particle transport during the relaxation of an isolated low-energy Bose gas from a far-from-equilibrium incoherent state towards a condensed state. We focus on the initial stage of particle transport to low momenta, before the emergence of a condensate. In terms of the gas density n and interatomic s-wave scattering length a, we find the time for incoherent particle transport is set by 1/(na)2, in contrast to the collisional timescale 1/(na2). We observe an inverse particle cascade with the momentum distribution developing a power law tail with exponent γ≈2.4(2). Both of these observations are signatures of Weak Wave Turbulence (WWT). Finally, we study where the WWT scaling breaks d
B11/1	related_excluded	涉及分子、分子显微镜、polar molecule 或 RbCs/KRb/NaCs 混合系统；不是 Rb87 Rydberg atom tweezer array。	quantum_sim;molecule;optical_lattice_or_gas	Out-of-Equilibrium Trapped Gases I	Pairing and Interaction Effects in a Fermionic Quantum Kicked Rotor	https://meetings-archive.aps.org/damop/2026/b11/1/		"The quantum kicked rotor (QKR) is a deceptively simple model that exhibits rich transport phenomena, including a momentum-space analogue of the celebrated Anderson localization effect. While this localization, distinguished by a saturation in energy growth, can occur for kick periods incommensurate with the mass-dependent inverse recoil frequency, resonances and anti-resonances can emerge in the system's energy evolution for commensurate kick periods. The QKR's energy versus kick period ""spectrum"" thus contains a wealth of information, including how interactions affect resonance shapes and locations. We have measured energy spectra and resonant energy growth in a 6^Li atom-optics realization"
B11/2	unrelated_excluded	读完摘要后未发现可归入 Rb87 Rydberg 光镊平台近期实验/工程问题的内容。	gate_QEC	Out-of-Equilibrium Trapped Gases I	Disorder-Assisted Adiabaticity in Correlated Many-Particle Systems	https://meetings-archive.aps.org/damop/2026/b11/2/		We investigate how disorder affects adiabaticity for an interaction modulation on an isolated many-particle system whereby the interaction is changed from zero to a maximum value and then back to zero following a given time profile. We find that, independently of the disorder strength and pulse shapes (rectangular, triangular, and Gaussian), the pulse duration is negatively correlated with the change in total energy in the system. That is, the longer duration reduces the change in total energy for each protocol. Across different considered pulse shapes, we find a robust negative correlation between the disorder strength and the change in total energy across the interaction pulse. Namely, inc
